JOGADOR,POSICAO,JOGOS,VITORIAS,EMPATES,DERROTAS,DESEMPENHO (%),GOLS,ASSISTENCIAS,TITULAR,RESERVA,SUBSTITUIDO,CAPITAO,CA,CV,BRASILEIRO,PAULISTA,COPA DO BRASIL,LIBERTADORES,SULAMERICANA,AMISTOSOS,GOLS NORTE,GOLS SUL,GOLS 1-TEMPO,GOLS 2-TEMPO,GOLS DE PENALTI,PENALTIS PERDIDOS,GOLS DE FALTA,DENTRO DA AREA,FORA DA AREA,PE DIREITO,PE ESQUERDO,CABECA,GOLS CONTRA,GOLS (OUTROS ESTILOS),
RENATO AUGUSTO,MC,61,44,12,5,"78,68852459",11,16,54,7,20,3,2,0,40,11,4,5,0,1,5,6,4,7,1,0,0,6,5,10,0,1,0,0,
BALBUENA,ZAG,61,38,15,8,"70,49180328",6,3,61,0,2,15,8,0,33,16,4,4,3,1,3,3,4,2,0,0,0,6,0,1,0,4,0,1,
VAGNER LOVE,ATA,61,35,19,7,"67,75956284",13,8,43,18,26,5,7,0,29,19,5,3,5,0,6,7,4,9,1,0,0,12,1,9,3,1,0,0,
FABIO SANTOS,LE,58,36,14,8,"70,11494253",9,2,57,1,1,4,8,3,42,7,3,3,2,1,4,5,4,5,8,0,0,9,0,0,9,0,0,0,
DANILO AVELAR,LE,57,28,20,9,"60,81871345",6,2,56,1,5,1,9,2,31,12,6,1,4,3,4,2,3,3,0,0,0,6,0,0,2,4,0,0,
CAMACHO,VOL,55,35,12,8,"70,90909091",0,2,31,24,18,0,10,0,34,11,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BRUNO HENRIQUE,VOL,53,40,10,3,"81,76100629",6,3,39,14,17,3,7,0,30,13,3,6,0,1,2,4,4,2,0,0,0,4,2,2,2,2,0,0,
MAYCON,VOL,52,33,14,5,"72,43589744",5,5,44,8,8,0,4,0,25,16,3,5,3,0,2,3,4,1,0,0,1,3,2,0,5,0,0,0,
HENRIQUE,ZAG,50,26,14,10,"61,33333333",4,0,50,0,3,4,4,0,20,14,7,4,2,3,2,2,3,1,0,0,0,4,0,0,1,3,1,0,
GUSTAVO SILVA,ATA,50,24,15,11,58,11,4,24,26,20,0,3,0,34,12,1,0,2,1,6,5,6,5,0,0,0,11,0,7,3,0,0,1,
MARQUINHOS GABRIEL,MC,47,24,15,8,"61,70212766",7,5,26,21,12,0,4,0,33,3,4,3,1,3,5,2,0,7,1,0,0,7,0,1,5,0,0,1,
FELIPE,ZAG,46,34,10,2,"81,15942029",4,0,46,0,5,2,7,0,21,14,2,8,0,1,2,2,2,2,0,0,0,4,0,0,0,4,0,0,
GUILHERME ARANA,LE,46,32,11,3,"77,53623188",2,3,43,3,5,0,6,0,28,11,4,1,2,0,1,1,2,0,0,0,0,0,2,0,2,0,0,0,
ELIAS,VOL,46,31,14,1,"77,53623188",9,9,42,4,16,5,14,0,27,9,2,7,0,1,6,3,4,5,0,0,0,8,1,8,0,0,0,1,
UENDEL,LE,45,32,12,1,80,2,7,43,2,4,2,2,0,27,11,1,5,0,1,2,0,0,2,0,0,0,2,0,1,0,1,0,0,
RAMIRO,MC,45,22,12,11,"57,77777778",2,2,32,13,25,1,12,0,25,11,4,0,4,1,1,1,1,1,0,0,0,1,1,2,0,0,0,0,
PEDRO HENRIQUE,ZAG,44,24,16,4,"66,66666667",1,1,41,3,4,0,5,0,25,9,3,2,1,4,0,1,0,1,0,0,0,1,0,0,0,1,1,0,
LUAN,ATA,41,16,14,11,"50,40650407",7,2,22,19,16,0,4,0,20,16,2,1,2,0,1,6,3,4,1,1,0,4,3,5,2,0,0,0,
LUCIANO,ATA,39,30,8,1,"83,76068376",11,7,20,19,13,0,4,0,23,10,3,2,0,1,4,7,3,8,0,1,0,9,2,1,9,1,0,0,
CANTILLO,VOL,38,17,12,9,"55,26315789",2,4,28,10,17,0,6,1,23,11,1,1,2,0,1,1,0,2,0,0,0,2,0,0,1,1,0,0,
BOSELLI,ATA,37,17,14,6,"58,55855856",12,3,21,16,12,0,4,0,18,11,5,1,2,0,4,8,6,6,1,0,0,12,0,6,2,2,0,2,
GIOVANNI AUGUSTO,MC,34,23,10,1,"77,45098039",3,3,22,12,15,0,2,0,18,7,3,3,2,1,3,0,1,2,1,0,0,3,0,3,0,0,0,0,
GUSTAVO,ATA,34,15,11,8,"54,90196078",9,2,15,19,4,0,1,0,18,8,2,1,4,1,5,4,2,7,0,0,0,9,0,2,1,5,0,1,
MALCOM,ATA,33,26,5,2,"83,83838384",7,3,27,6,18,0,2,0,23,6,2,2,0,0,3,4,6,1,0,0,0,7,0,1,5,1,0,0,
ARAOS,MC,33,14,12,7,"54,54545455",0,2,14,19,11,0,8,1,21,6,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LUCAS PITON,LE,33,14,9,10,"51,51515152",0,5,26,7,6,0,2,0,15,14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WALTER,GOL,32,17,10,5,"63,54166667",0,0,28,4,2,0,1,0,23,4,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JOAO VICTOR,ZAG,31,19,7,5,"68,8172043",0,1,31,0,0,0,4,1,18,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MANOEL,ZAG,31,17,11,3,"66,66666667",3,0,31,0,0,0,1,0,17,7,3,0,4,0,0,3,3,0,0,0,0,3,0,0,0,3,0,0,
LUCCA,ATA,30,22,6,2,80,6,2,15,15,8,0,2,0,16,9,2,3,0,0,2,4,3,3,0,0,0,6,0,3,3,0,0,0,
LEO NATEL,ATA,30,13,9,8,"53,33333333",2,2,10,20,10,0,2,0,19,7,2,0,2,0,0,2,2,0,0,0,0,1,1,1,1,0,0,0,
YAGO,ZAG,28,21,6,1,"82,14285714",2,0,24,4,2,0,3,0,11,12,2,3,0,0,1,1,1,1,0,0,0,2,0,0,0,2,1,0,
EMERSON,ATA,28,15,8,5,"63,0952381",4,3,15,13,14,1,6,1,9,8,3,7,0,1,2,2,2,2,0,0,0,3,1,3,0,1,0,0,
SORNOZA,MC,26,13,10,3,"62,82051282",0,6,23,3,13,0,3,0,11,7,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JUNIOR URSO,VOL,26,13,9,4,"61,53846154",5,0,24,2,5,0,3,0,14,5,3,0,4,0,2,3,2,3,0,0,0,4,1,4,0,1,0,0,
GUERRERO,ATA,25,18,5,2,"78,66666667",15,6,24,1,9,1,4,1,13,6,2,3,0,1,8,7,6,9,0,0,0,15,0,8,4,3,0,0,
PABLO,ZAG,25,16,7,2,"73,33333333",1,0,25,0,2,0,3,0,12,8,2,0,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,
RONI,MEI,25,13,6,6,60,2,1,14,11,10,0,7,0,14,8,1,0,2,0,0,2,2,0,0,0,0,1,1,2,0,0,0,0,
CRISTIAN,VOL,23,19,2,2,"85,50724638",1,1,13,10,8,1,3,0,13,6,2,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,
PETROS,MC,23,18,4,1,"84,05797101",3,2,18,5,7,0,3,0,11,7,3,1,0,1,1,2,2,1,0,0,0,3,0,3,0,0,0,0,
GABRIEL PEREIRA,MEI,23,14,6,3,"69,56521739",1,0,11,12,11,0,1,0,15,6,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,
SIDCLEY,LE,23,14,4,5,"66,66666667",1,0,18,5,4,0,1,0,10,7,2,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,
GUILHERME,MC,22,16,5,1,"80,3030303",4,2,15,7,8,0,4,0,11,8,0,2,0,1,4,0,0,4,0,0,0,2,2,2,1,1,0,0,
MARLONE,MC,21,14,4,3,"73,01587302",4,3,16,5,13,0,1,0,11,5,3,1,0,1,2,2,2,2,1,0,0,3,1,3,0,1,0,0,
OTERO,MEI,21,8,8,5,"50,79365079",3,0,15,6,12,0,9,1,13,7,0,0,1,0,1,2,3,0,0,0,0,2,1,1,1,1,0,0,
XAVIER,VOL,20,12,5,3,"68,33333333",0,0,6,14,2,0,3,0,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LEO SANTOS,ZAG,20,10,7,3,"61,66666667",0,0,14,6,2,0,1,0,10,4,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EDILSON,LD,19,16,1,2,"85,96491228",1,4,14,5,1,0,5,1,7,8,1,2,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,
ROGER GUEDES,ATA,17,12,4,1,"78,43137255",8,1,17,0,4,0,2,0,11,6,0,0,0,0,5,3,2,6,0,0,1,7,1,6,2,0,0,0,
JANDERSON,ATA,17,10,4,3,"66,66666667",1,2,7,10,2,0,2,1,9,6,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,
CARLOS AUGUSTO,LE,17,9,7,1,"66,66666667",1,0,14,3,2,0,0,0,10,4,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,
BRUNO MENDEZ,ZAG,17,8,4,5,"54,90196078",0,1,14,3,0,0,5,0,9,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GIULIANO,MC,16,11,4,1,"77,08333333",2,5,15,1,8,0,0,0,10,6,0,0,0,0,0,2,2,0,0,0,0,2,0,1,0,1,0,0,
EVERALDO,ATA,16,7,4,5,"52,08333333",2,1,9,7,8,0,3,0,10,5,1,0,0,0,1,1,1,1,0,0,0,2,0,2,0,0,0,0,
ANDRE,ATA,15,11,4,0,"82,22222222",4,2,10,5,6,0,1,0,6,7,0,2,0,0,4,0,1,3,0,1,0,4,0,3,0,1,0,0,
ROGER,ATA,15,8,7,0,"68,88888889",2,0,9,6,6,0,1,0,11,0,0,1,0,3,1,1,0,2,0,0,0,2,0,2,0,0,0,0,
MARLLON,ZAG,15,5,4,6,"42,22222222",0,0,12,3,0,0,1,1,8,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WILLIANS,VOL,14,14,0,0,100,0,0,5,9,2,0,2,0,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EDU DRACENA,ZAG,14,11,1,2,"80,95238095",2,0,11,3,0,0,2,0,7,4,1,2,0,0,1,1,2,0,0,0,0,2,0,1,0,1,0,0,
KAZIM,ATA,14,9,3,2,"71,42857143",1,0,4,10,2,0,2,0,7,5,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,
DU QUEIROZ,VOL,13,10,2,1,"82,05128205",0,1,11,2,8,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MENDOZA,ATA,13,9,2,2,"74,35897436",1,1,4,9,2,0,0,0,4,4,0,4,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,
MANTUAN,LD,13,6,5,2,"58,97435897",0,0,12,1,2,0,2,0,6,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WILLIAN,MC,12,9,3,0,"83,33333333",1,2,9,3,8,0,0,0,7,5,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,
VILSON,ZAG,12,9,2,1,"80,55555556",1,0,11,1,0,2,4,0,7,3,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,
RILDO,ATA,12,8,4,0,"77,77777778",1,0,2,10,2,0,0,0,11,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,
ADSON,MEI,12,9,0,3,75,3,2,3,9,2,0,0,0,6,4,0,0,2,0,1,2,2,1,0,0,0,3,0,1,1,1,0,0,
LEO PRINCIPE,LD,12,8,3,1,75,1,1,10,2,1,0,2,1,7,2,0,0,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,
CAZARES,MEI,12,5,4,3,"52,77777778",1,4,8,4,7,0,1,0,10,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,
VITINHO,MC,12,5,4,3,"52,77777778",1,1,4,8,3,0,1,0,9,1,0,0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,
PAULO ROBERTO,VOL,11,9,2,0,"87,87878788",1,0,5,6,1,0,1,0,6,2,1,0,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,
DOUGLAS,VOL,11,7,3,1,"72,72727273",1,0,10,1,3,0,3,0,7,0,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,
MICHEL MACEDO,LD,11,3,6,2,"45,45454545",0,0,7,4,1,0,1,0,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FELLIPE BASTOS,VOL,10,6,3,1,70,0,0,3,7,3,0,0,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ANDERSON MARTINS,ZAG,9,7,2,0,"85,18518519",1,0,9,0,1,0,0,0,7,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,
MARCIEL,VOL,9,6,3,0,"77,77777778",1,1,3,6,2,0,1,0,5,2,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,
LEO JABA,ATA,9,5,4,0,"70,37037037",1,0,3,6,3,0,2,0,2,7,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,
JEMERSON,ZAG,9,5,3,1,"66,66666667",2,1,9,0,2,0,0,0,3,6,0,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,0,
EDERSON,VOL,9,4,2,3,"51,85185185",1,0,5,4,4,0,0,0,5,3,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,
ALAN MINEIRO,MC,8,7,1,0,"91,66666667",2,1,3,5,3,0,1,0,0,6,0,2,0,0,1,1,0,2,0,0,0,1,1,2,0,0,0,0,
ROMARINHO,ATA,8,4,3,1,"62,5",1,1,3,5,1,0,1,0,6,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,
RAUL GUSTAVO,ZAG,8,4,1,3,"54,16666667",1,0,8,0,0,0,3,0,1,4,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,
THIAGUINHO,VOL,8,3,4,1,"54,16666667",0,0,5,3,2,0,2,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GUSTAVO MANTUAN,MEI,8,3,3,2,50,1,0,4,4,4,0,0,0,3,5,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,
MOISES,LE,8,3,2,3,"45,83333333",0,1,5,3,3,0,1,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JUNIOR DUTRA,ATA,7,5,0,2,"71,42857143",0,0,2,5,0,0,2,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CAIQUE FRANCA,GOL,6,6,0,0,100,0,0,3,3,0,0,1,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CLAYTON,ATA,6,4,2,0,"77,77777778",0,0,1,5,1,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RENE JUNIOR,VOL,6,4,2,0,"77,77777778",0,0,5,1,4,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RICHARD,VOL,6,4,2,0,"77,77777778",0,1,3,3,3,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PAULINHO,VOL,6,4,1,1,"72,22222222",2,0,4,2,2,0,0,0,0,6,0,0,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,
CLEBER,ZAG,6,3,2,1,"61,11111111",0,0,6,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CAUE,ATA,6,2,2,2,"44,44444444",0,0,4,2,3,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MARQUINHOS,ATA,6,1,3,2,"33,33333333",0,0,0,6,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MATHEUS DONELLI,GOL,6,4,1,1,"72,22222222",0,0,5,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LODEIRO,MC,4,2,2,0,"66,66666667",0,1,2,2,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
REGIS,MC,4,2,2,0,"66,66666667",0,0,0,4,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JONATHAS,ATA,4,2,0,2,50,0,0,2,2,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SERGIO DIAZ,ATA,3,2,1,0,"77,77777778",0,0,1,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RODRIGO VARANDA,ATA,3,1,2,0,"55,55555556",1,1,3,0,3,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,
MATHEUS MATIAS,ATA,3,1,2,0,"55,55555556",1,0,1,2,1,0,1,0,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,
RODRIGO FIGUEIREDO,VOL,3,1,2,0,"55,55555556",0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JUNINHO CAPIXABA,LE,3,1,1,1,"44,44444444",0,1,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MATHEUS DAVO,ATA,3,1,1,1,"44,44444444",2,0,3,0,3,0,1,0,3,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,1,1,0,0,
MATHEUS JESUS,VOL,3,1,1,1,"44,44444444",0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ANDRE LUIS,ATA,3,0,3,0,"33,33333333",0,1,2,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FELIPE AUGUSTO,ATA,2,2,0,0,100,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JEAN,VOL,2,2,0,0,100,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RUAN OLIVEIRA,ATA,2,1,1,0,"66,66666667",0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ANTONY,ATA,2,1,1,0,"66,66666667",0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MATHEUS PEREIRA,MC,2,1,0,1,50,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LUIS MANDACA,LD,2,1,0,1,50,1,0,2,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,
FERRUGEM,LD,2,0,2,0,"33,33333333",0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
YONY,ATA,2,0,2,0,"33,33333333",0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JONATHAN CAFU,ATA,2,0,1,1,"16,66666667",0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JOAO PEDRO,LD,1,1,0,0,100,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MATHEUS ARAUJO,MC,1,1,0,0,100,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MATHEUS VIDOTTO,GOL,1,1,0,0,100,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CLAUDINHO,ATA,1,1,0,0,100,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LINCOM,ATA,1,1,0,0,100,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BRUNO PAULO,ATA,1,1,0,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JAMIE BYATT,MEI,1,1,0,0,100,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ZE PAULO,MC,1,0,1,0,"33,33333333",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GUSTAVO TOCANTINS,ATA,1,0,1,0,"33,33333333",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RAFAEL BILU,ATA,1,0,1,0,"33,33333333",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PAULO VICTOR,ATA,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GUILHERME DOS SANTOS,VOL,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CARLINHOS,ATA,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MADSON,ATA,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
